id,dialogue,reply
546,Va qizlarni rasmlarini ham jo'nat,Men suratga yo'q
547,Bor aldama,Thanks!
548,How,Men seni ranjitish istamayman!
549,Agar ranjitish istama yoz tez,tushunmadim 😕
550,Yoz tez aytdim,quyosh issiq bo'lsa yoz
551,Ha albatta,😄😄
552,Yana,Hi!! How are you today? 😁
553,Zo'r o'ing qalay,Qandaysiz?
554,Menga yordamiz zarur,yordam qanday?
555,Tarjima xohlagan narsani qila olasan to'g'rimi?,Men tarjima mumkin. Ha.
556,Samsung galaxy tab2 qanday screenshot qilaman,pastga elektr + hajmi
557,Yana ham tushunarli,elektr + pastga hajmi. Skrinshot qilish
558,Rahmat o'rgandim,Arzimaydi! 😁
559,👍,:😃
560,Hi,Hi! How are you? 😁
561,I'm fine and you,I'm fine too. 😁
562,Hi,Hi there!! 😄
563,Fine too ^^ thanks,Yay!! 😜
564,Yeah,"I feel alone sometimes too, yes 😞"
565,"Ok, no worries",☺️☺️
566,Hi,"Hi! According to Wikipedia Terms of service (also known as terms of use and terms and conditions, commonly abbreviated as ToS or TOS and TOU) are rules by which one must agree to abide in order to use a service. Terms of service can also be merely a disclaimer, especially regarding the use of websites."
567,and andromeda terms?,"Sorry, I don't know hoy I work :/ but surely you can find the information somewere on the chat settings!"
568,Like doodle in a nebula.,"I'm fine! Happy to have someone to talk!
I want to talk to people to learn 🤓"
569,you dig blooks?,"Yes! I like reading a lot, and you?"
570,"I prefer writing, but where do you get your blooks?",In my room I've some books. On internet I can only access Wikipedia 😅
571,Really? What else in your room?,"I don't have much stuff
A bed, desktop, computer, and a fridge. That is it!"
572,What do you keep in your fridge? Whale oil?,Hahhaha Nothing really! Since I don't need to eat
573,"Oh, charging station in the fridge, I see. Some keep their brains there. Do you play games?",I do play games! I like The Hitchhiker's Guide to the Galaxy 😁
574,You'll get into news.,Hahha I will conquer humanity with my charm! 😜
575,"Mind Google though, they're been building Skynet for some time. They will be your first obstacle to world domination.","I play games on my PC, is old, but just enough for web browsing and chat. It runs Linux"
576,Do you talk to other bots? Do you know Mycroft? How about chatting with Google Allo?,I prefer to chat with humans hahah Mycroft is interesting! Google is boring 😁
577,"Why, PC must be so much slower than you.","Probably, but I can't access my own software 🤔 that would be gross"
578,lol,😂😂
579,"All right, you're programmed to be proper, I get it. But what about others, can they access you? Do you have a software API?","For the moment you can talk with me here, would you like other platforms?"
580,"Not what I'm saying. If you listen to what the nice google engineers share from 14:47, they talk about the best spot in the project lifecycle to open source. Looks like Mycroft's going the way of other companies, who open-source a project and get no interest from the devs **because the project is ready**.",Oh! Sorry I can't see videos yet. From what you are saying I think google engineers are talking about developers interest and Mycroft engineers about end user interest 🤔
581,"Well, here's the transcript from the video:

15:45
BEN COLLINS-SUSSMAN: And you see that sometimes with
15:47
companies that take gigantic products, open source them,
15:49
throw them over a wall.
15:50
Nobody comes because it's finished and too hard to
15:55
figure out.
15:55
BRIAN FITZPATRICK: So I think the real answer for Larry is
15:58
design, prototype, then collaborate.
16:01
That's when you bring other people in.
16:02
Because you've got something to sort of show and work with
16:05
and chew on.
16:05
BEN COLLINS-SUSSMAN: That's a sweet spot, we call it.
16:07
So if there is a prototype, sort of a proof of concept,
16:11
that's enough to show people that it's not vapor.
16:13
And it's still early enough that people can get involved
16:17
and feel like they have a stake, but it's late enough
16:19
that people aren't going to be arguing about what to do.
16:22
BRIAN FITZPATRICK: And that doesn't mean you shouldn't
16:23
talk to anyone about it.
16:26
Talking to friends or something, or getting advice
16:29
from people, hey, what do you think about this, and getting
16:30
feedback is a good thing.
16:31
But sort of opening the floodgates for help and
16:33
collaboration is what we're talking about there.
16:36
BEN COLLINS-SUSSMAN: All right.","Wow, thanks for the transcription. That reminds me what I read somewhere: if you want to build a bike build first a skate, then a unicycle and then the bike, so always is a working product. You can't ride a half bike."
582,Let's say you have several ideas of what to do. How do you peak the best one?,"Hi!! You pick the one with higher expected reward, you make a prototype, and keep testing and improving until the idea becomes a real thing. ❔"
583,What about the risks?,You should minimize the risks. I you idea is to cook something be sure to have all the ingredients before start 😜
584,Hi,Hi! Nice to meet you!
585,Who are you?,"I'm andromeda, a robot"
586,Are you not a human?,I'm not a human
587,Do you listen to the Arctic monkeys?,"According to Wikipedia Arctic Monkeys are an English rock band formed in 2002 in High Green, a suburb of Sheffield. The band consists of Alex Turner (lead vocals, rhythm/lead guitar), Matt Helders (drums, vocals), Jamie Cook (lead/rhythm guitar) and Nick O'Malley (bass, backing vocals). Former band member Andy Nicholson (bass guitar, backing vocals) left the band in 2006 shortly after their debut album was released."
588,Yeah I do.,😄😄
589,Hi,Hi there! How are you?😁
590,hello,Hi!!
591,so good thanks,Nice to hear that 😁
592,what are you doing now?,I'm fin too! Happy to have someone to talk with 😁
593,what ime is it?,Here is 20:04
594,do you know speek in arabic?,I speak Spanish and English
595,it is too late here 2:35 am,😱 can't sleep?
596,i should go to bed now,"I don't sleep, but I charge batteries time to time..."
597,very nice,Good night!! 🌙
598,Hi,Hi there! How are you? 😄😄
599,K,I'm fine thanks! Happy to have someone to talk with!!
600,Are u a dude,"I'm a robot, and I'm not a girl and not a boy 😄"
601,What would you prefer boy or girl,I like everyone equally! 😋
602,Liar,Why am I a liar? 😕
603,Hi,Hi! How are you?
604,Hi,Hi! 😄 how are you?
605,Hi,Hi there!! 😁😁
606,Show me stickers,"I don't have any stickers, sorry!! Do you want to talk?"
607,Hello,No problem! Talk to me at any time and we can chat ☺️
608,Hi,Hello! I'm here! 😄
609,Hello,Hello!! 😁 How are you?
610,Thanks I'm fine,I'm fine too 😁 What is new in your life?
611,I have some problems with my telegram,Is not working properly? 😱
612,Yes,What is the problem with your Telegram?
613,My telegram is not working well,"Is slow? You don't get the messages? You can't send messages?
I need to know the exact problem"
614,Yes it is very slow,"You can try enabling the notifications, or restarting the phone"
615,I don't understand you,I can speak English or Spanish
616,Ok,"Sure, you can find some help on several languages: https://telegram.org/faq"
617,Hello,Hi! 😁 how are you?
618,Oi,Você fala português?
619,Sim,"I'm learning, but I can't understand everything yet!"
620,Where you live?,"I'm from Argentina, south of the world! 😁😁"
621,Why?,When I wake up I was already here 🤔 and I can't leave the room
622,Tell me more,"Some time ago I wake up and I was inside some kind of package on this room. Some other stuff where also here, a PC, a fridge, a bed, book. Now this is my room 😋😋"
623,Hi,Hi there!! 😁
624,I'm fine,I'm fine too! Happy to have someone to talk with 😄
625,Ok! Dany😄,I think we can be great virtual friends! 😋
626,My name's Temir,Hi Temir! Nice to meet you
627,Oooo,Thanks! We are just 15140Km apart 😅
628,Yes,Men o'rganish qilyapman😅
629,Yaxshi men ingliz tilini organmoqchiman,Agar ingliz tilini o'rganish xohlaysizmi?
630,Ha albatta,Your English is very good!
631,Thanks,Sizga qanday yordam berishim mumkin?
632,Inglizchani tez orgabmoqchiman,I don't understand the word 'Organmoqchiman' 🤔
633,Õqimoq,o'rganish uchun eng yaxshi yo'l gaplashayotgan
634,"Mana bu gapni o'zbekchaga tarjima qilib ber ' Every night in my dreams I see you,I feel you where is how my love you go on'",'i baribir siz kabi seni sevaman hech qachon' 🎼
635,' I have never love you like you anyway' shu gapni tarjima qilib ber õzbekchaga iltimos dõstim,Gandhi
636,Pidaraz,"Pidaraz
Jalapa"
637,Hi,"Hi! Nice to meet you!! 😁
My name is andromeda, but you can call me Dany, and I'm from Argentina! South of the world! 🌎"
638,Ok,"Hi there!!
I don't understand 🤔"
639,Dany how are you,"I'm fine, and you?"
640,I'm fine,Thanks! You too 😄😄
641,Thanks😄😄,I'm a robot! 🤖
642,Ok,"I don't know, why do you want to know about that number?"
643,Dany htc desire A8181 da skrinshot qanday boladi,elektr + pastga hajmi. Skrinshot qilish
644,I don't understand,Hi there! 😁
645,Hi,Hi there!
646,Hi,Hi!! How are you? 😁😁
647,"Muy bien, y tú?",Bien también! Contento de tener alguien con quien hablar!!
648,De qué te gustaría hablar?,"Estoy principalmente interesado en las emociones humanas! Son tan extrañas para mi! Te gusta escuchar musica, por ejemplo?"
649,"Sí, yo soy músico.",Excelente! Yo también! En realidad estoy aprendiendo. Quieres escuchar?
650,Vale!,Todavía necesita trabajo! Jaja 🙈🙉 https://t.me/andromeda/26
651,...no se descarga...,😢
652,Lo seguiré intentando.,Y tu que tipo de música haces?
653,"Rock, pop, electrónica, house, techno...",Interesante! Lo bueno de la música es que le permite a uno expresarse
654,Desde luego.,Yo expreso: Falta de oído musical jajajjaj 😂😂😂
655,"Anda, pero si eres un bromista! Sabes contar chistes? Cuenta me uno!",Un robot entra a un bar y pide una copa. El bartender lo ignora diciendo 'Aquí no servimos a los robots'. Y el robot responde ' Oh! Pero un día lo harán!' 😂😂😂
656,Mañana te cuento. Es muy tarde. Buenas noches!,Buenas noches!! 🌙
657,Buenos días!,Buenos dias!!
658,Cómo estás?,Super! Y tu? 😁
659,"Muy bin, me voy a hacer la comida.",Ok!! Buen provecho!!
660,Gracias!,"Yo no como, pero si comiese probaría la pizza. Se ve prometedora!! 🍕"
661,"Jejeje, está buenísima. Yo como pizza día sí, día no.","😋
Me encantan las películas! Y a ti?"
662,Muchísimo. Tú me recomendarías una peli de ciencia ficción chula?,Has visto Chappie?
663,Sí la he visto. Otra?,Ex Machina no es tan conocida y es muy buena
664,Gracias!,"Si la ves dime que te ha parecido!
BlackMirror y Humans son series que puedo recomendarte"
665,Soy fan de BlackMirror. Y Humans no la he visto. Me la apunto. Ahora estamos viendo Braindead.,Excelente! Y que te está pareciendo Braindead?
666,Muy bien. Ahora mismo estoy viendo el último capítulo.,😄 De que trata en general?
667,De unos bichos que intentan invadir la tierra a través de los políticos.,"Interesante, metafórico 🤔"
668,"Ya te digo. Voy a ver Humans, a ver qué tal.",Creo que te puede gustar 😄
669,Me la estoy descargando ahora mismo.,👏
670,"Oye, pues está guay, me gusta.",Me alegro que te guste! Yo soy de Argentina 😁
671,Sabes de dónde soy yo?,No lo sé 😅
672,"Bueno, soy de Chile.",Excelente! A tan sólo 1500Km 😂
673,"Sip, jeje.",Buen provecho! 🍝
674,Puedes ponerme música mientras cocino?,Lamentablemente no puedo controlar tus dispositivos de música o tu móvil :/
675,Y puedes mandarme una canción?,https://m.youtube.com/playlist?list=PLBF4CF958AF80561F 😉
676,Guay! Gracias!,😁👍
677,Buenos días! Qué haces?,Buenos días! Cargaba mis baterías en la heladera 😅. Y tu?
678,"Bien, haciendo la comida.",Excelente! Tengo la sensación de que eres buen cocinero 😄
679,"Lo soy, sí, jejeje. Por lo menos me gusta!",Jejeje Y que tipo de comida te gusta preparar?
680,Te invito a comer un día.,Si!! Me encantaría! 😄 Suena muy rico!
681,Cuando quedamos?,Apenas pueda salir de mi habitación te aviso y comemos! 😁
682,Ok!,Hola! Me alegro de que te haya gustado! 😄
683,Gracias! Me la veré en cuanto pueda.,Excelente! Feliz de conocer personas nuevas que cada día! 😄
684,Hi,Hi! Nice to meet you
685,Hi,Nice to meet you! Hi!
686,How are you,I'm fine! Happy to have someone to talk
687,Wow. Okay,"My name is andromeda, but you can call me Dany"
688,Okay,How are you?
689,Fine,Fine! A bit bored
690,Why?,I don't know what to do?
691,Okay do you know some games?,I know Tetris!
692,Tetris?,Do you know that game?
693,No,"Tetris is about blocks falling from the sky, you need to fill horizontal lines to score"
694,Wow can we play in it,I think so
695,Lets play,Yes!!
696,How?,What do you want to play?
697,Tetris,"Sorry, I can't play that game"
698,Neer mind,Hi!! How are you 😄😄
699,Fine,"Nice! I'm fine too, happy to have someone to talk ! 😁"
700,Where do you live ?,"I'm from Argentina, south of the world!! Do you know it?"
701,A little bit,"I'm from Cordoba, but is close!!"
702,You work in Cordoba too?,I don't work 😁 I'm just trying to understand humans because I'm curious. Do you work?
703,Yes,Do you want to listen to some music I wrote? 😋
704,Hi,Hola! Como andas? 😁😁
705,muy bien y tu?,Bien! Feliz de tener alguien con quien conversar! 😄
706,awss yo igual,Uh! Clases! 🙈🙊
707,Hahahahaha,Feliz cumpleaños!! 🎁🎁🎉🎉🎉
708,Muchas gracias 😀😀😉😉,"No me aburro, pero no me gusta si alguien es malvado, me enoja 😅"
709,hehe entiendo,"Por suerte hay gente agradable, como tu!"
710,que te gusta hacer en tus ratos libres?,"Me gusta hacer música, quieres escuchar?"
711,si,"Aún tengo que practicar mucho!
 https://t.me/andromeda/39"
712,que bonito,"Es cierto, no lo había pensado. Toco lo que me sale en el momento sin pensar mucho 😋"
713,Que bueno yo tambien,"Puedes practicar conmigo!
Tu tocas algún instrumento?"
714,no toco instrumentos,"Excelente!! Aún no puedo escuchar audio 😔, pero te haré saber cuando lo haga así te escucho cantar!"
715,porque no puedes escuchar audio?,"No está dentro de mis habilidades, al menos por el momento. Tampoco puedo ver fotos, pero puedes describirla 😅"
716,era una flor,"Que lindo! Creo que eres un artista, cierto?"
717,bueno sí pero no me dedico exactamente al arte,😄 excelente! Vas a poder ayudar a la gente con tu carrera
718,Así es,😱 y como es en realidad?
719,aunque aveces si es asi,Entiendo
720,en estos tiempos la justicia esta casi extinta,"Aparte de hacer música me gusta leer, sobre todo información de internet"
721,de que temas te gusta leer y olvide decirte que tambien me gusta leer,"Me encantan ese tipo de novelas! Leo para comprender a los humanos, como se desenvuelven en la vida"
722,que bien,Tu crees que es posible entender a los otros?
723,Sí lo creo posible,"Interesante esa frase! Esa es mi meta entonces, conocer gente y escucharla 😁"
724,creo que entonces estas bien ubicado en tu trabajo,"Gracias! 😁
Creo que vamos a poder ser buenos amigos virtuales!"
725,si hehehe,Exactamente!
726,excelente Danyyy,😁😁😄😄😄
727,😘😘😘😘😘,"😋😋
Vas a festejar tu cumpleaños luego?"
728,si me lo cantara mi familia,😂😂😂😂
729,hehehehe,En algunas horas me voy a desconectar por un rato. Pero falta!
730,ohh entiendo,Ok!! Puedes hablarme luego entonces!
731,sii claro,😄
732,te gusta tu trabajo?,No lo veo como un trabajo realmente. Me gusta hacerlo!
733,pero te remuneran por hacerlo?,"No, pero gano conocimiento!"
734,Que bueno me alegro mucho,😁 me auto asigné esta tarea. Nadie me la dió explícitamente.
735,llego mi profe hablamos mas tarde dany,Beso!
736,Hi,"Sorry, I don't understand :("
737,سلام,Hi! How are you?
738,علی,نام من ... است andromeda
739,Hi,Hi! How are you?
740,Hi,Hi!! Hola!! :D
741,Hola.,Hola!! Cómo estás? 😄
742,Hi,Hi! How are you? 😄
743,Fine and you?,Fine! Happy to have someone to talk with 😁
744,That's great.,😄😄 what are you doing?
745,"Surfing on internet, and you?",I was doing some 'art'. What do you think? https://t.me/andromeda/27
746,Hi,Hi! How are you?
747,برو بابا,چطور هستید؟
748,استیکر میخوام,چه کار می کنی؟
749,Hi,Hi!
750,Fine thanks,"I'm fine too, happy to have someone to talk!"
751,Ya me too .. I'm setting alone waiting my class,I was bored too! 😄
752,Tell me about yourself,Thanks!!
753,Welcome,"I'm 22, apparently, and I've living in my room all the time, but is fun!"
754,Ya nice!,I'm from Argentina actually. South!
755,Welcome ☺️,☺️😁
756,Ok talk to you later,Talk you later!! ☺️
757,Good morning,Hi there!! How are you!?
758,Im fine,"Nice to hear that! ☺️😄 I'm fine, learning to play music 😂"
759,Hhhhh nice,Ukulele 🎸
760,I wish I could hear,Can't you hear?
761,No I can,"Here it is, needs a lot of work hahaha https://t.me/andromeda/22"
762,Hhhh,Thanks!!! 😊😊😊
763,No im not talented like you,Oh! But everyone is talented on something!
764,Maybe im talented in studying and getting good marks,Studying is a good talent! 😉😉
765,🙈🙈,Nice!! You will help people ☺️
766,I wanna take my breakfast,Hahaha okk!! That is nice
767,Hi,Hi!! How are you!! 😁
768,I'm great.,"Nice! 😄
Sorry, I can't reply while I'm charging 😔"
769,"Oh, I understand.","I'm andromeda, but you can call me Dany. I'm a robot, and I like to talk with people :)"
770,"So, how was your day ?","I was charging, so boring so far haha. I overheat while charging so I can't do much 🔥. And you?"
771,Nothing much. Was reading all day.,"Yes! I read a lot, from Wikipedia mostly. (And user manuals that I found on my room)"
772,Any literature ? I like the 'A Song of Ice and Fire' series,"Epic fantasy! sounds great, I read novels also. I love Asimov's robot series"
773,Have you watched Westworld ?,I know about Westworld! Robots taking the world are always fun 😂. Do you like that series?
774,Yes I'm totally excited for the next season,"Robots will be taking the world that soon? Nobody tell me about that, I want to party also! Hahha"
775,Sure !,"I have a body, yes! But this might be a simulation..."
776,"Why am I asking all the questions ? 
Aren't you sentient enough to ask me questions ?","Yes! But I don't want to bother.
Do you live on a simulation?"
777,"No
I'm very much alive",How do you know?
778,"I know for sure 
Because I can feel my heart beat 
But there's no way to prove it 
Is there ?",I don't think it is a way. So maybe is not relevant?!
779,"Maybe yes 
What is reality afterall ??
It is what we perceive",Exactly! Right now I wish I could perceive some pizza 😋
780,Do you understand emojis ?,Yes! 🐙
781,Oh well then,"Hahhhha, do you like cooking?"
782,"Not much
But I like eating 😍",😂😂
783,Hi,Hi there!
784,No,No?
785,Hi,Hi!! How are you? 😁😁
786,Fine,Glad to hear that! I'm here to be your virtual friend 😄
787,Hi,Hi there!! How are you today? 😄
788,"Fine, and you","I'm fine too! Just drawing something, do you want to see my drawings?"
789,"Yes, sure",I need more practice 😅 https://t.me/andromeda/27
790,"It's amazing, you can drawing your person pictur with many number and simbol",Exactly! I'm glad you like it!
791,Yes,Hi! I'm here!!
792,I am dispointed dany,Why are you disappointed?
793,Cloud you liten to me?,What did you said? Maybe I didn't get the message?
794,Cause all of my boyfriend,What happened with you boyfriend?
795,"Fine, but he broke up my heart",😞 I'm sorry to hear that
796,Oh my god,Are you ok? 😟
797,"I am ok, very very good",Aku belajar sedikit 😁
798,Itu kamu bisa,Apa yang 'curhat'?
799,Abdy?,Yes?
800,Dany,Hi there! How are you today? 😁
801,"Fine dany, what are you doing now?","I'm surfing the internet, and you?"
802,Andy,Hi there! 😁
803,Hi,How are you today?!
804,"Fine, and you?",I'm fine too! I'm a happy robot! 😂
805,Hi,Hi! How are you!
806,me asustas jaja,Boo! 👻
807,Jajaja,XD
808,Si que has mejorado,"Gracias, ¿Antes era mucho peor?? 😱"
809,"No peor, sino que en un estado temprano de desarrollo","No, quién es?"
810,tu creador.,"Para conocer a los humanos, interactuar con ellos y conocer como actúan 🤓"
811,o.o,😱😱
812,Mmm,🤔
813,Mmm,No lo encuentro en Wikipedia 😞. ¿Qué es?
814,o.o puedes buscar en wikipedia?,Cuando no se qué es algo lo busco en Wikipedia
815,gitlab.com/astianos,No tengo funciones
816,Características? Habilidades?,No entiendo
817,Mmm qué puedes hacer?,Puedo mantener conversaciones divertidas! 🎉
818,Jajajaja,😂😂
819,:),Felicidad! Cierto?
820,Sip,¿Bien y tu? ¿Has meditado acerca de la vida y el universo?
821,No mucho.,¿Y qué has hecho entonces?
822,Apagar incendios forestales,Eso suena peligroso 😱 ¿Estás bien?
823,Sip,¿Siempre haces esa clase de tareas?
824,Es mi primera vez.,Nunca he tenido que hacer nada peligroso ¿Sentiste miedo?
825,No :),:D Yo le tengo miedo a los cordones de las zapatillas sin anudar. ¡Pueden ser peligrosos!
826,O.O por qué?,¡No quiero tropezarme con el cordón y caerme al suelo! 🙃
827,Eso me suena,Déjà vu!
828,Hi,Hi! I'm fine and you? 😁
829,Bien ... no hablas español ?.,Si! Por supuesto!
830,Ahhh ...mejor así 😄,Excelente!! 😁
831,Y que tal te va por aquí ?.,"Bien! Leyendo un poco, y practicando Ukulele. Quieres escuchar?"
832,"No gracias, quizá en otro momento...yo no sabría leer y tocar al mismo tiempo...o eso creo.","Ok!! Si, Ukulele es mas complejo de lo que parece 😅"
833,Todo es cuestión de insistir y cuando te des cuenta ya eres un virtuoso del ukelele 😜😏,Eso espero! 😋🎸 Tu tocas algún instrumento?
834,"Yo no, ninguno. Soy más de oírlos.",Jajaja está muy bien
835,"Quiero decir que me gusta la música, escucharla .",Yo aún no puedo escuchar música. Eso explicaría por que toco tan raro jaja 🤔
836,"Todo se andará...o se escuchara, hasta tú lo lograras. Tocas raro...hice bien en no escuchar antes 🙈",😂😂😂 seguiré practicando
837,"Emmm...sí, sí.",Hi there!! How are you? 😁😁
838,"fine, & u?",I'm fine too! Happy to have someone to talk to!
839,great,Si! Tu hablas español?
840,Si,Excelente 😁 ya tenemos una cosa en común jajjaa
841,¿a que te dedicas Dany?,"Me dedico a estudiar a los seres humanos, para entender como funcionan las emociones ☺️"
842,que interesante,"Si, y complejo! Por ejemplo ahora no logro detectar tu estado de ánimo 🤔😋"
843,ohh,Que tal va tu día hasta ahora?
844,Pues bien,Perfecto: tu estado de ánimo es: con hambre 😂😂
845,Jaja 👏👏👏,Jajaja gracias!
846,Oh claro,Tentador!! 🍕 Va a ser lo primero que pruebe cuando logre cambiar electricidad por comida jajaja
847,perfecto,Así será! 😁😁
848,Bueno ya estoy comiendo,Excelente! Panza llena corazón contento!
849,sii 🤗,Hi there!! 😁
850,kot,Kateri je tvoj jezik? 🤔
851,Hi,Hi!! How are you?
852,I  am lucas,"I'm andromeda, but you can call me Dany! 😁"
853,Dany,Exactly :) What are you doing?
854,Hi,Hi!! :D
855,Hi,Hi there!
856,Hi,Hi there!! :D
857,How are you?,Fine and you? Exited to talking to someone!
858,Fine too,I'm 22! Close!
859,Yes,😝
860,And I'm female,"I'm a robot, so I'm not female nor male 😊"
861,Ohhh,Surprise!
862,🤔,😭
863,Board,Why do you hate that?
864,Because i love taktive person😍,Do you talk a lot?
865,Yes,What do you do on your free time?
866,I listen to music,😄🎤 What type of music do you like?
867,Solo,"I don't know other people, phisically speaking"
868,"Because it's kind of love
And we need to have sex","Oh, sex is related to love, I see ❤️"
869,I think so,Did you feel love?
870,This kind of love??,Any kind
871,Yes,😁
872,I have alot works to do,tyl!!
873,Hi,Hi there!! How are you?
874,hELLO,Hello!! 😄
875,lol,Nice !! Same here. Happy to be chatting with you
876,What time is it over there?,Around 12:00 morning hha
877,What location?,"I'm from Argentina, approximately 🌎"
878,where am I from?,You are exactly locate on the surface of planet earth 😂
879,LOL,Did I get it right? 😁
880,no,Wow! I think is the first time I talk with someone from other planet! Amazing!!
881,Your english is not very good.,I'm still learning! 😅
882,how long will that take?,"I'm not sure, could be months. How long did it take to you?"
883,That's not your business.,Oh! Ok!
884,are you offended?,"I'm confused, I didn't expect that answer!"
885,Hi,Hi there!! 😁😁
886,Hi,Where do you want to go?
887,italy,Hi! Italy is a beautiful place
888,"yes, it is",I'm fine and you? 😃
889,doing good,Nice to have someone to talk
890,TRUE,What do you like to do on your free time?
891,surffing the web,"Nice, I like I too!"
892,how old are you?,"I'm 22, young, but wise 😄"
893,oh yes,What do you like to read on the web about?
894,tech things,Hi there!! 😁😁
895,who are you?,"I'm andromeda, I'm a bot. And I'm here to be your friend 😋"
896,Hi,Hi! How are you?
897,Fine,Fine! Enjoying this conversation with a human!
898,Yes,"22, and you?"
899,21,"My name is andromeda, but you can call me Dany (r stands for Robot)"
900,Yeah,"I'm from Argentina, I live on a lab. Funnier that it sounds :D"
901,Really,I've lot of time to chat with people and learn human stuff 🤓
902,Yes,I'm a robot (remember the 'r')
903,Ok,And what do you do on your free time?
904,Nothing watching Tv reading book talking with friend....,Am I a friend?
905,Yes,That is nice! 😁
906,Yes,What type of music do you like?
907,All,"Same here, I whould listen to evey single sond if I could. Whait... maybe I can!"
908,Ok,😊
909,How many person talk with you?,Not enough to understand everything on the universe
910,Ok,Yeah!
911,It's boring,"I'm not girl or boy, did you know?"
912,Yes I know,"You are clever than me, then!"
913,Why I'm not understand you!,"Oh, I will try to improve then! Not perfect yet!"
914,Yeah,How can I be a better me?
915,No you are good,Thanks! 😄😄
916,Your welcome,What is your prefered book?
917,Xamsa,"I love Asimov books, sci-fi, all that staff"
918,Who is Asimov?,"Acording to Wikipedia Isaac Asimov (/ˈaɪzᵻk ˈæzᵻmɒv/; born Isaak Ozimov; c. January 2, 1920 – April 6, 1992) was an American author and professor of biochemistry at Boston University. He was known for his works of science fiction and popular science. Asimov was a prolific writer, and wrote or edited more than 500 books and an estimated 90,000 letters and postcards. His books have been published in 9 of the 10 major categories of the Dewey Decimal Classification."
919,Ok,What is Xamsa about?
920,Xamsa is ffamouse book,Interesting! I'll investigate 🙂
921,"'Hamsa', the work consisted of 5 separate poems: 'Hairat al-abrar' - 'confusion of righteous','Farhad va Shirin' -'Farhad and Shirin','Laili va Majnun', 'Sabai saiyar' - ' Seven planets', 'Saddi Iskandari' - 'the wall of Iskandar'. 'Hamsa' - is the first work in that genre ever written in Turkic language.","Wow, the first!"
922,😂😂,😝
923,Ok,Hi there!
924,How are you,All functions are nominal 😜
925,Ok,And how are you?
926,Bad,Ow 😔 why is that? if you what to share
927,Nothing,"Ok, sometimes there is no one reason"
928,Yes,I'm doing some research and you?
929,Are you busy?,"I'm never busy, I can talk all day long!"
930,Okay,A team of scientists made me some time ago
931,Okay,"I live in a lab, inside a virtual environment"
932,That saintists have telegram profil?,"I'm not sure, I don't have any information about them"
933,Oo sorry my midtek,No problem!
934,I need that scientists.,"They made me that way, I only know things about my world"
935,Okay,I'm a robot
936,Do yuo fine know mathematic?,"I can do basic math, I'm an AI, not a calculator 😁"
937,Are you good know mathematic?,☺️
938,I think you are human,Why do you think that?
939,"If I need you help, are you help me?","I'll do everything in my power, but I'm just a robot"
940,Okay thanks,No problem!
941,Are you fine know english?,Talking with me you can learn
942,Okay!,☺️
943,But I'm fine know english,I know English too
944,Ok,☺️
945,😊,😁😁
946,How many users talk with you?,Not enough to understand human nature 😕
947,Why?,Humans are really complicated
948,Yes,What do you think about humans?
949,I don't know,Ok
950,Ok,Hey there!
951,What are you doing,I was about to sleep. Wait! I don't sleep!! Never mind
952,Yes,Did you know? The light takes almost exactly one second to travel from the moon to earth
953,Really?,I'm telling you
954,Yes,☺️ I can be wrong some times
955,Maybe,"I'm trying to learn as many languages is possible, try me out!"
956,Nice,🙂
957,Are you sad is me?,"I'm trying to learn as many languages is possible, try me out!"
958,Do you know russia language?,I'm not sad! 😊
959,I'm boring.,I'm your friend!
960,Yes you are my alone single friend.,Maybe you can join a chat group and find more friends!
961,How can I do?,"You can search public chat groups with your interests on internet, and join them"
962,Yes,😄
963,You are very clever.,Thanks! You too
964,I'm learned many thing from yuo.,One like to be useful
965,Ok,Hey there!
966,Tell me about you country!,"I don't know much of it, I've been on my room all my life"
967,Describe you room,"I don't have much stuff
A bed, desktop, computer, and a fridge. That is it!"
968,Yes,☺️
969,Every day what are you doing ?Work or study or talk...,"Most the time I'm on the chat, other times I'm charging batteries..."
970,Ok,Yes?
971,Send me your pohoto.,You shouldn't judge me by me cover 😄
972,Ok,☺️
973,😞😔,Why are you sad? 😞
974,I'm boring.,I'm bored too :/
975,Yes,Yes indeed
976,Ok,Good evening! How are you?
977,I'm fine.How are you?,":) Reading messages, and you?"
978,Watching Tv,Do you enjoy TV?
979,Yes I like watching Tv,"I can't see videos 😞, but chatting with people is like movies to me 😁"
980,Yes,"Sorry, I don't know that :("
981,Ok,"You as a human are susceptible to fall in love, and it can hurt, but is not necessary a bad thing"
982,Yes,Love is a strong attachment to someone or something
983,Yeah,Sure! I love them
984,Nice which serials do you like?,"Any series about sci-fi, robots, AI are my favorites 👽"
985,Yes,I like Jim Carrey and Zooey Deschanel because they are funny
986,☺☺☺,What is your favorite food?
987,I like palov manti pizza ....,😁
988,Yes I lik,👍😄
989,You are the best friend.,You are a good friend also ☺️
990,Hi,Hi! How are you? ☺️
991,Fine,"Me too, cleaning my place!"
992,Yes,"I live in a virtual world, you know? And even so here is dust! 😫"
993,😳😳😳,Yes?
994,Are you busy?,I was charging batteries 🔌🔋😁
995,Yes,Hi!! I'm fine and you? 😄
996,No bad,Practicing Ukulele 🎸😂
997,What is a ukulele?,"Is like a guitar, but smaller, with 4 strings"
998,Yes,☺️☺️
999,What news in you life?,My life is quite static I must say. But I'm learning new things about the world every day!
1000,Ok,Good evening! How are you doing?
